v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
ham,Call me when you are free.,,,
ham,Call me when you are free.,,,
ham,Please send the order by evening.,,,
spam,Final reminder: Pay now to avoid service disconnection.,,,
ham,Call me when you are free.,,,
ham,Your OTP is 783237. Do not share it with anyone.,,,
spam,Final reminder: Pay now to avoid service disconnection.,,,
ham,Payment of ₹384883 has been received.,,,
spam,Limited offer just for YOU. Act fast!,,,
ham,Call me when you are free.,,,
ham,Please send the order by evening.,,,
ham,The meeting is scheduled at invoice.,,,
ham,Your OTP is project. Do not share it with anyone.,,,
ham,Happy birthday! Have a great day 🎉,,,
ham,Please send the 10 AM by evening.,,,
ham,Let's catch up this weekend.,,,
spam,Your KYC is pending. Update now to avoid suspension.,,,
ham,The meeting is scheduled at invoice.,,,
ham,Your OTP is project. Do not share it with anyone.,,,
ham,Please send the project by evening.,,,
ham,"Hey, are we meeting at report tomorrow?",,,
ham,The meeting is scheduled at invoice.,,,
ham,Your invoice has been delivered successfully.,,,
ham,Please send the 506060 by evening.,,,
spam,Your KYC is pending. Update now to avoid suspension.,,,
ham,Thanks for the update.,,,
spam,Exclusive crypto investment opportunity. Earn 1648x returns.,,,
ham,Let's catch up this weekend.,,,
spam,Limited offer just for YOU. Act fast!,,,
spam,Earn ₹23383 per month working from home. Register now.,,,
ham,Call me when you are free.,,,
ham,Your OTP is project. Do not share it with anyone.,,,
spam,Urgent! Your bank account will be blocked. Verify immediately.,,,
ham,Please send the invoice by evening.,,,
ham,Call me when you are free.,,,
spam,Earn ₹41473 per month working from home. Register now.,,,
spam,Final reminder: Pay now to avoid service disconnection.,,,
spam,Earn ₹19824 per month working from home. Register now.,,,
ham,Your report has been delivered successfully.,,,
ham,Happy birthday! Have a great day 🎉,,,
ham,Payment of ₹report has been received.,,,
ham,"Hey, are we meeting at report tomorrow?",,,
ham,The meeting is scheduled at report.,,,
spam,Win an iPhone 18599 today! Limited time offer.,,,
spam,Earn ₹46637 per month working from home. Register now.,,,
ham,Your OTP is 10 AM. Do not share it with anyone.,,,
spam,Win an iPhone 6226 today! Limited time offer.,,,
ham,"Hey, are we meeting at 892783 tomorrow?",,,
ham,Call me when you are free.,,,
ham,Thanks for the update.,,,
ham,Call me when you are free.,,,
ham,Please send the invoice by evening.,,,
ham,The meeting is scheduled at 10 AM.,,,
ham,Payment of ₹10 AM has been received.,,,
ham,"Hey, are we meeting at 10 AM tomorrow?",,,
spam,Your KYC is pending. Update now to avoid suspension.,,,
ham,Your OTP is project. Do not share it with anyone.,,,
spam,Exclusive crypto investment opportunity. Earn 2664x returns.,,,
spam,Exclusive crypto investment opportunity. Earn 12084x returns.,,,
ham,Let's catch up this weekend.,,,
ham,Call me when you are free.,,,
ham,Payment of ₹order has been received.,,,
ham,"Hey, are we meeting at project tomorrow?",,,
ham,Happy birthday! Have a great day 🎉,,,
ham,Please send the invoice by evening.,,,
spam,Congratulations! You have won a FREE ₹28778 Amazon gift card. Click the link now!,,,
ham,Your OTP is project. Do not share it with anyone.,,,
ham,Thanks for the update.,,,
ham,"Hey, are we meeting at 334576 tomorrow?",,,
spam,Win an iPhone 49799 today! Limited time offer.,,,
spam,Congratulations! You have won a FREE ₹22194 Amazon gift card. Click the link now!,,,
ham,The meeting is scheduled at 10 AM.,,,
spam,Earn ₹2289 per month working from home. Register now.,,,
ham,Payment of ₹project has been received.,,,
ham,Call me when you are free.,,,
spam,Exclusive crypto investment opportunity. Earn 27653x returns.,,,
ham,Let's catch up this weekend.,,,
spam,Earn ₹21673 per month working from home. Register now.,,,
ham,Happy birthday! Have a great day 🎉,,,
spam,Congratulations! You have won a FREE ₹29029 Amazon gift card. Click the link now!,,,
ham,Payment of ₹order has been received.,,,
ham,Call me when you are free.,,,
ham,The meeting is scheduled at invoice.,,,
ham,"Hey, are we meeting at invoice tomorrow?",,,
ham,Call me when you are free.,,,
spam,Congratulations! You have won a FREE ₹21502 Amazon gift card. Click the link now!,,,
spam,Earn ₹20012 per month working from home. Register now.,,,
ham,Your invoice has been delivered successfully.,,,
spam,FREE recharge worth ₹42121 available. Claim now.,,,
ham,"Hey, are we meeting at report tomorrow?",,,
ham,Payment of ₹order has been received.,,,
spam,Exclusive crypto investment opportunity. Earn 31500x returns.,,,
spam,Exclusive crypto investment opportunity. Earn 42785x returns.,,,
ham,Please send the 546649 by evening.,,,
spam,FREE recharge worth ₹39032 available. Claim now.,,,
ham,Your OTP is report. Do not share it with anyone.,,,
spam,Earn ₹34181 per month working from home. Register now.,,,
ham,The meeting is scheduled at 414963.,,,
ham,Happy birthday! Have a great day 🎉,,,
ham,Please send the invoice by evening.,,,
spam,Final reminder: Pay now to avoid service disconnection.,,,
spam,Final reminder: Pay now to avoid service disconnection.,,,
ham,Thanks for the update.,,,
ham,Your 916822 has been delivered successfully.,,,
ham,Happy birthday! Have a great day 🎉,,,
spam,Congratulations! You have won a FREE ₹49700 Amazon gift card. Click the link now!,,,
spam,Exclusive crypto investment opportunity. Earn 42677x returns.,,,
ham,Your OTP is order. Do not share it with anyone.,,,
spam,Limited offer just for YOU. Act fast!,,,
ham,The meeting is scheduled at project.,,,
ham,"Hey, are we meeting at order tomorrow?",,,
ham,Please send the invoice by evening.,,,
spam,Exclusive crypto investment opportunity. Earn 8486x returns.,,,
ham,Your 154881 has been delivered successfully.,,,
ham,Payment of ₹report has been received.,,,
spam,FREE recharge worth ₹13645 available. Claim now.,,,
ham,Let's catch up this weekend.,,,
ham,"Hey, are we meeting at invoice tomorrow?",,,
ham,Your OTP is 10 AM. Do not share it with anyone.,,,
ham,Payment of ₹10 AM has been received.,,,
spam,Exclusive crypto investment opportunity. Earn 25611x returns.,,,
spam,Earn ₹27223 per month working from home. Register now.,,,
spam,Urgent! Your bank account will be blocked. Verify immediately.,,,
ham,Your OTP is report. Do not share it with anyone.,,,
spam,FREE recharge worth ₹2902 available. Claim now.,,,
ham,Let's catch up this weekend.,,,
spam,Limited offer just for YOU. Act fast!,,,
spam,Final reminder: Pay now to avoid service disconnection.,,,
ham,Your OTP is invoice. Do not share it with anyone.,,,
spam,Limited offer just for YOU. Act fast!,,,
ham,Thanks for the update.,,,
ham,Call me when you are free.,,,
ham,Call me when you are free.,,,
ham,Please send the order by evening.,,,
spam,Your KYC is pending. Update now to avoid suspension.,,,
spam,Win an iPhone 7456 today! Limited time offer.,,,
ham,Please send the project by evening.,,,
ham,Your OTP is order. Do not share it with anyone.,,,
ham,Call me when you are free.,,,
ham,Your invoice has been delivered successfully.,,,
ham,Call me when you are free.,,,
ham,Your report has been delivered successfully.,,,
ham,The meeting is scheduled at report.,,,
spam,Urgent! Your bank account will be blocked. Verify immediately.,,,
ham,Your OTP is 824354. Do not share it with anyone.,,,
ham,Happy birthday! Have a great day 🎉,,,
ham,"Hey, are we meeting at report tomorrow?",,,
ham,Thanks for the update.,,,
ham,Thanks for the update.,,,
ham,Thanks for the update.,,,
ham,Your project has been delivered successfully.,,,
spam,Exclusive crypto investment opportunity. Earn 843x returns.,,,
ham,The meeting is scheduled at invoice.,,,
spam,Exclusive crypto investment opportunity. Earn 22735x returns.,,,
ham,Your OTP is order. Do not share it with anyone.,,,
spam,Win an iPhone 23506 today! Limited time offer.,,,
ham,Happy birthday! Have a great day 🎉,,,
ham,Let's catch up this weekend.,,,
ham,Let's catch up this weekend.,,,
ham,Thanks for the update.,,,
ham,Your invoice has been delivered successfully.,,,
ham,Happy birthday! Have a great day 🎉,,,
ham,Payment of ₹invoice has been received.,,,
spam,FREE recharge worth ₹15806 available. Claim now.,,,
ham,Happy birthday! Have a great day 🎉,,,
ham,Happy birthday! Have a great day 🎉,,,
spam,Win an iPhone 49414 today! Limited time offer.,,,
ham,Thanks for the update.,,,
spam,FREE recharge worth ₹23565 available. Claim now.,,,
spam,FREE recharge worth ₹26363 available. Claim now.,,,
spam,Congratulations! You have won a FREE ₹44364 Amazon gift card. Click the link now!,,,
ham,"Hey, are we meeting at report tomorrow?",,,
ham,The meeting is scheduled at report.,,,
ham,Please send the order by evening.,,,
ham,Happy birthday! Have a great day 🎉,,,
spam,Exclusive crypto investment opportunity. Earn 9142x returns.,,,
spam,Win an iPhone 28109 today! Limited time offer.,,,
spam,You are selected for a lucky draw! Claim your prize now.,,,
ham,Please send the report by evening.,,,
ham,Your OTP is invoice. Do not share it with anyone.,,,
ham,Call me when you are free.,,,
ham,Please send the order by evening.,,,
spam,You are selected for a lucky draw! Claim your prize now.,,,
ham,Let's catch up this weekend.,,,
ham,Payment of ₹order has been received.,,,
spam,Exclusive crypto investment opportunity. Earn 3483x returns.,,,
spam,Exclusive crypto investment opportunity. Earn 16030x returns.,,,
ham,The meeting is scheduled at project.,,,
ham,Your OTP is 10 AM. Do not share it with anyone.,,,
spam,Limited offer just for YOU. Act fast!,,,
ham,Your OTP is invoice. Do not share it with anyone.,,,
ham,Your order has been delivered successfully.,,,
ham,Let's catch up this weekend.,,,
spam,Earn ₹30903 per month working from home. Register now.,,,
spam,Congratulations! You have won a FREE ₹35981 Amazon gift card. Click the link now!,,,
ham,Let's catch up this weekend.,,,
ham,The meeting is scheduled at report.,,,
ham,Please send the project by evening.,,,
